Frame,uiPartAddr,CU_X,CU_Y,CU_Height,CU_Width,MV_X,MV_Y
2,0,336,416,8,8,0,0
2,0,344,416,8,8,0,0
2,0,336,424,8,8,102,-90
2,0,344,424,8,8,0,0
2,0,320,432,16,16,30,-46
2,0,352,416,32,32,0,0
2,0,384,384,64,64,0,0
2,0,448,384,32,32,1,0
2,0,496,384,16,16,27,-6
2,0,488,400,8,8,27,-6
2,0,488,408,8,8,31,-12
2,0,496,400,8,8,27,-6
2,0,504,400,8,8,27,-6
2,0,496,408,8,4,31,-12
2,1,496,408,8,4,27,-6
2,0,448,416,16,16,0,0
2,0,464,416,16,16,0,0
2,0,448,432,16,16,0,0
2,0,496,416,8,4,31,-12
2,1,496,416,8,4,27,-6
2,0,504,416,8,8,24,-6
2,0,504,424,8,8,27,-6
2,0,480,432,16,12,29,-21
2,5,480,432,16,4,29,-21
2,0,496,432,16,16,29,-21
2,0,512,384,32,32,24,-2
2,0,544,384,16,4,24,-2
2,1,544,384,16,12,31,0
2,0,544,400,16,8,24,-2
2,4,544,400,16,8,31,0
2,0,560,400,16,16,31,0
2,0,512,416,16,8,35,-6
2,4,512,416,16,8,24,-4
2,0,528,416,16,16,24,-2
2,0,528,432,16,16,24,-2
2,0,544,416,16,16,24,-2
2,0,560,416,16,16,39,-12
2,0,544,432,16,16,24,-2
2,0,560,432,16,16,39,-12
2,0,576,384,16,16,1,0
2,0,592,384,16,16,1,0
2,0,592,400,16,16,1,0
2,0,608,384,32,32,0,0
2,0,576,416,32,24,41,-24
2,20,576,416,32,8,0,0
2,0,608,416,32,32,0,0
2,0,640,384,64,64,0,0
2,0,704,384,64,64,1,0
2,0,768,384,64,64,1,0
2,0,0,448,32,32,2,2
2,0,32,448,32,32,2,2
2,0,64,448,32,32,2,2
2,0,96,448,32,32,0,0
2,0,128,448,32,32,0,-2
2,0,160,448,32,32,0,0
2,0,192,448,32,32,0,0
2,0,224,448,32,16,0,-2
2,16,224,448,32,16,26,-43
2,0,256,448,32,32,30,-46
2,0,288,448,32,32,30,-46
2,0,320,448,16,16,30,-46
2,0,320,464,16,16,30,-46
2,0,336,464,16,16,0,0
2,0,352,448,32,32,0,0
2,0,384,448,32,32,0,0
2,0,416,448,32,32,0,0
2,0,448,448,32,32,38,-15
2,0,488,448,8,8,29,-21
2,0,480,456,8,8,38,-15
2,0,488,456,8,8,38,-15
2,0,496,448,16,16,29,-21
2,0,480,464,16,16,38,-15
2,0,496,464,16,16,29,-21
2,0,512,448,16,16,24,-2
2,0,528,448,16,16,24,-2
2,0,512,464,16,16,32,-24
2,0,528,464,16,16,32,-24
2,0,552,448,8,8,66,-12
2,0,544,464,16,16,73,-39
2,0,560,464,16,16,73,-39
2,0,584,464,8,8,24,27
2,0,576,472,8,8,73,-39
2,0,608,448,32,32,0,0
2,0,640,448,32,32,0,0
2,0,672,448,32,32,1,0
2,0,704,448,32,32,1,0
2,0,736,448,32,32,1,0
2,0,768,448,32,32,1,0
2,0,800,448,32,32,1,0
3,0,0,0,64,64,0,0
3,0,64,0,32,32,0,0
3,0,96,0,32,32,0,0
3,0,64,32,32,32,0,0
3,0,96,32,16,16,0,0
3,0,112,32,16,16,0,0
3,0,96,48,16,16,0,0
3,0,112,48,16,4,0,-1
3,1,112,48,16,12,1,0
3,0,128,0,16,16,0,0
3,0,144,0,16,16,0,0
3,0,128,16,16,16,0,0
3,0,144,16,16,16,0,0
3,0,160,0,32,32,0,0
3,0,128,32,32,32,1,0
3,0,160,32,32,8,1,1
3,4,160,32,32,24,0,0
3,0,192,0,32,32,0,0
3,0,224,0,32,32,0,0
3,0,192,32,16,16,0,0
3,0,208,32,16,16,0,0
3,0,192,48,16,16,0,0
3,0,208,48,16,16,0,0
3,0,224,32,32,32,0,0
3,0,256,0,64,64,0,0
3,0,320,0,32,32,0,0
3,0,352,0,8,8,0,0
3,0,360,0,8,8,0,0
3,0,352,8,8,8,0,0
3,0,368,0,8,8,0,0
3,0,376,0,8,8,0,0
3,0,368,8,8,8,0,0
3,0,376,8,8,8,0,0
3,0,352,16,16,16,0,0
3,0,368,16,16,16,0,0
3,0,320,32,32,32,0,0
3,0,352,32,32,32,0,0
3,0,384,0,64,64,0,0
3,0,448,0,64,64,0,0
3,0,512,0,32,32,0,0
3,0,544,0,16,16,0,0
3,0,560,0,16,16,0,0
3,0,544,16,8,8,0,0
3,0,552,16,8,8,0,0
3,0,544,24,8,8,0,0
3,0,552,24,8,8,-31,12
3,0,560,16,16,16,-47,24
3,0,512,32,32,32,0,0
3,0,544,32,32,32,-35,12
3,0,576,0,16,16,0,0
3,0,592,0,16,16,-33,14
3,0,576,16,16,16,-33,14
3,0,592,16,16,16,-33,14
3,0,608,0,16,16,-35,14
3,0,624,0,16,16,-35,14
3,0,608,16,16,16,-33,17
3,0,624,16,16,16,-35,14
3,0,576,32,16,16,-35,12
3,0,592,32,8,8,-31,12
3,0,600,32,8,8,-33,14
3,0,592,40,8,8,-35,12
3,0,600,40,8,8,-33,14
3,0,576,48,16,16,-36,12
3,0,592,48,8,8,-36,12
3,0,600,48,8,8,-33,14
3,0,592,56,8,8,-33,14
3,0,600,56,8,8,-34,14
3,0,608,32,16,16,-33,17
3,0,624,32,16,16,0,0
3,0,608,48,16,16,-37,17
3,0,624,48,16,16,0,0
3,0,640,0,8,8,-35,14
3,0,648,0,8,8,0,0
3,0,640,8,8,8,-35,14
3,0,648,8,8,8,0,0
3,0,656,0,16,16,0,0
3,0,640,16,16,16,0,0
3,0,656,16,16,16,0,0
3,0,672,0,32,32,0,0
3,0,640,32,32,32,0,0
3,0,672,32,32,32,0,0
3,0,704,0,64,64,0,0
3,0,768,0,64,64,0,0
3,0,0,64,64,64,0,0
3,0,64,64,16,32,0,0
3,32,64,64,16,32,0,1
3,0,96,64,16,16,0,-1
3,0,112,64,8,8,0,-1
3,0,120,64,8,8,0,0
3,0,112,72,8,8,0,-1
3,0,120,72,8,8,0,-1
3,0,96,80,16,16,0,1
3,0,112,80,8,8,0,1
3,0,120,80,8,8,0,1
3,0,112,88,8,8,0,1
3,0,120,88,8,8,0,0
3,0,64,96,32,32,0,1
3,0,96,96,32,32,0,0
